StockExchange,Identifier
NASDAQ,TXN
NASDAQ,ULTA
NASDAQ,VIAB
NASDAQ,VRSK
NASDAQ,VRSN
NASDAQ,VRTX
NASDAQ,WBA
NASDAQ,WDC
NASDAQ,WLTW
NASDAQ,WYNN
NASDAQ,XLNX
NASDAQ,XRAY
NASDAQ,ZION
NYSE,A
NYSE,AAP
NYSE,ABBV
NYSE,ABC
NYSE,ABT
NYSE,ACN
NYSE,ADM
NYSE,ADS
NYSE,AEE
NYSE,AEP
NYSE,AES
NYSE,AFL
NYSE,AGN
NYSE,AIG
NYSE,AIV
NYSE,AIZ
NYSE,AJG
NYSE,ALB
NYSE,ALK
NYSE,ALL
NYSE,ALLE
NYSE,AMCR
NYSE,AME
NYSE,AMG
NYSE,AMP
NYSE,AMT
NYSE,ANET
NYSE,ANTM
NYSE,AON
NYSE,AOS
NYSE,APA
NYSE,APD
NYSE,APH
NYSE,APTV
NYSE,ARE
NYSE,ARNC
NYSE,ATO
NYSE,AVB
NYSE,AVY
NYSE,AWK
NYSE,AXP
NYSE,AZO
NYSE,BA
NYSE,BAC
NYSE,BAX
NYSE,BBT
NYSE,BBY
NYSE,BDX
NYSE,BEN
NYSE,BF.B
NYSE,BHGE
NYSE,BK
NYSE,BLK
NYSE,BLL
NYSE,BMY
NYSE,BR
NYSE,BRK.B
NYSE,BSX
NYSE,BWA
NYSE,BXP
NYSE,C
NYSE,CAG
NYSE,CAH
NYSE,CAT
NYSE,CB
NYSE,CBRE
NYSE,CBS
NYSE,CCI
NYSE,CCL
NYSE,CE
NYSE,CF
NYSE,CFG
NYSE,CHD
NYSE,CI
NYSE,CL
NYSE,CLX
NYSE,CMA
NYSE,CMG
NYSE,CMI
NYSE,CMS
NYSE,CNC
NYSE,CNP
NYSE,COF
NYSE,COG
NYSE,COO
NYSE,COP
NYSE,COTY
NYSE,CPB
NYSE,CPRI
NYSE,CRM
NYSE,CTL
NYSE,CTVA
NYSE,CVS
NYSE,CVX
NYSE,CXO
NYSE,D
NYSE,DAL
NYSE,DD
NYSE,DE
NYSE,DFS
NYSE,DG
NYSE,DGX
NYSE,DHI
NYSE,DHR
NYSE,DIS
NYSE,DLR
NYSE,DOV
NYSE,DOW
NYSE,DRE
NYSE,DRI
NYSE,DTE
NYSE,DUK
NYSE,DVA
NYSE,DVN
NYSE,DXC
NYSE,ECL
NYSE,ED
NYSE,EFX
NYSE,EIX
NYSE,EL
NYSE,EMN
NYSE,EMR
NYSE,EOG
NYSE,EQR
NYSE,ES
NYSE,ESS
NYSE,ETN
NYSE,ETR
NYSE,EVRG
NYSE,EW
NYSE,EXC
NYSE,EXR
NYSE,F
NYSE,FBHS
NYSE,FCX
NYSE,FDX
NYSE,FE
NYSE,FIS
NYSE,FLS
NYSE,FLT
NYSE,FMC
NYSE,FRC
NYSE,FRT
NYSE,FTI
NYSE,FTV
NYSE,GD
NYSE,GE
NYSE,GIS
NYSE,GL
NYSE,GLW
NYSE,GM
NYSE,GPC
NYSE,GPN
NYSE,GPS
NYSE,GS
NYSE,GWW
NYSE,HAL
NYSE,HBI
NYSE,HCA
NYSE,HCP
NYSE,HD
NYSE,HES
NYSE,HFC
NYSE,HIG
NYSE,HII
NYSE,HLT
NYSE,HOG
NYSE,HON
NYSE,HP
NYSE,HPE
NYSE,HPQ
NYSE,HRB
NYSE,HRL
NYSE,HST
NYSE,HSY
NYSE,HUM
NYSE,IBM
NYSE,ICE
NYSE,IEX
NYSE,IFF
NYSE,IP
NYSE,IPG
NYSE,IQV
NYSE,IR
NYSE,IRM
NYSE,IT
NYSE,ITW
NYSE,IVZ
NYSE,JCI
NYSE,JEC
NYSE,JEF
NYSE,JNJ
NYSE,JNPR
NYSE,JPM
NYSE,JWN
NYSE,K
NYSE,KEY
NYSE,KEYS
NYSE,KIM
NYSE,KMB
NYSE,KMI
NYSE,KMX
NYSE,KO
NYSE,KR
NYSE,KSS
NYSE,KSU
NYSE,L
NYSE,LB
NYSE,LDOS
NYSE,LEG
NYSE,LEN
NYSE,LH
NYSE,LHX
NYSE,LIN
NYSE,LLY
NYSE,LMT
NYSE,LNC
NYSE,LNT
NYSE,LOW
NYSE,LUV
NYSE,LW
NYSE,LYB
NYSE,M
NYSE,MA
NYSE,MAA
NYSE,MAC
NYSE,MAS
NYSE,MCD
NYSE,MCK
NYSE,MCO
NYSE,MDT
NYSE,MET
NYSE,MGM
NYSE,MHK
NYSE,MKC
NYSE,MLM
NYSE,MMC
NYSE,MMM
NYSE,MO
NYSE,MOS
NYSE,MPC
NYSE,MRK
NYSE,MRO
NYSE,MS
NYSE,MSCI
NYSE,MSI
NYSE,MTB
NYSE,MTD
NYSE,NBL
NYSE,NCLH
NYSE,NEE
NYSE,NEM
NYSE,NI
NYSE,NKE
NYSE,NLSN
NYSE,NOC
NYSE,NOV
NYSE,NRG
NYSE,NSC
NYSE,NUE
NYSE,O
NYSE,OKE
NYSE,OMC
NYSE,ORCL
NYSE,OXY
NYSE,PEG
NYSE,PFE
NYSE,PFG
NYSE,PG
NYSE,PGR
NYSE,PH
NYSE,PHM
NYSE,PKG
NYSE,PKI
NYSE,PLD
NYSE,PM
NYSE,PNC
NYSE,PNR
NYSE,PNW
NYSE,PPG
NYSE,PPL
NYSE,PRGO
NYSE,PRU
NYSE,PSA
NYSE,PSX
NYSE,PVH
NYSE,PWR
NYSE,PXD
NYSE,RCL
NYSE,RE
NYSE,REG
NYSE,RF
NYSE,RHI
NYSE,RJF
NYSE,RL
NYSE,RMD
NYSE,ROK
NYSE,ROL
NYSE,ROP
NYSE,RSG
NYSE,RTN
NYSE,SCHW
NYSE,SEE
NYSE,SHW
NYSE,SJM
NYSE,SLB
NYSE,SLG
NYSE,SNA
NYSE,SO
NYSE,SPG
NYSE,SPGI
NYSE,SRE
NYSE,STI
NYSE,STT
NYSE,STZ
NYSE,SWK
NYSE,SYF
NYSE,SYK
NYSE,SYY
NYSE,T
NYSE,TAP
NYSE,TDG
NYSE,TEL
NYSE,TFX
NYSE,TGT
NYSE,TIF
NYSE,TJX
NYSE,TMO
NYSE,TPR
NYSE,TRV
NYSE,TSN
NYSE,TSS
NYSE,TWTR
NYSE,TXT
NYSE,UA
NYSE,UAA
NYSE,UAL
NYSE,UDR
NYSE,UHS
NYSE,UNH
NYSE,UNM
NYSE,UNP
NYSE,UPS
NYSE,URI
NYSE,USB
NYSE,UTX
NYSE,V
NYSE,VAR
NYSE,VFC
NYSE,VLO
NYSE,VMC
NYSE,VNO
NYSE,VTR
NYSE,VZ
NYSE,WAB
NYSE,WAT
NYSE,WCG
NYSE,WEC
NYSE,WELL
NYSE,WFC
NYSE,WHR
NYSE,WM
NYSE,WMB
NYSE,WMT
NYSE,WRK
NYSE,WU
NYSE,WY
NYSE,XEC
NYSE,XEL
NYSE,XOM
NYSE,XRX
NYSE,XYL
NYSE,YUM
NYSE,ZBH
NYSE,ZTS
UNKNOWN,CBOE
